CustomerID,Age,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Contract,Paperless_Billing,Payment_Method,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Monthly_Charges,Total_Charges,Churn
CUST_00039,24,Female,1,Yes,No,44,Two year,No,Mailed check,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,100.09,4352.34,Yes
CUST_00040,42,Female,0,Yes,No,72,Month-to-month,Yes,Credit card,Yes,Yes,DSL,No internet service,No internet service,Yes,Yes,No,Yes,93.25,6643.82,Yes
CUST_00041,48,Female,0,Yes,Yes,59,Two year,No,Electronic check,Yes,No,DSL,No internet service,Yes,Yes,No,Yes,No internet service,92.37,5388.26,No
CUST_00042,42,Male,0,Yes,No,23,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,109.16,2653.55,Yes
CUST_00043,38,Male,0,No,Yes,62,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No internet service,120.0,7455.73,Yes
CUST_00044,36,Female,0,No,Yes,23,Month-to-month,No,Mailed check,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,84.7,1884.39,No
CUST_00045,22,Male,0,Yes,Yes,58,Month-to-month,No,Credit card,Yes,No,DSL,No,Yes,Yes,No,No,No,83.77,4932.25,No
CUST_00046,31,Male,0,Yes,No,55,One year,Yes,Credit card,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No,No internet service,109.67,5977.22,Yes
CUST_00047,34,Male,0,No,No,33,Two year,No,Mailed check,No,No phone service,No,No,No,Yes,Yes,No internet service,Yes,47.82,1550.78,No
CUST_00048,52,Male,0,Yes,No,63,Month-to-month,No,Electronic check,Yes,Yes,DSL,Yes,No,No,No,No,No,80.44,5063.9,Yes
CUST_00049,44,Female,0,Yes,No,60,One year,No,Mailed check,No,Yes,No,No internet service,No,Yes,No internet service,No,No internet service,41.79,2539.58,Yes
CUST_00050,18,Male,0,No,No,61,Two year,No,Credit card,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,118.27,7224.59,No
CUST_00051,43,Female,0,No,No,61,Month-to-month,No,Electronic check,Yes,No,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,95.22,5789.36,No
CUST_00052,35,Female,0,Yes,No,69,Month-to-month,No,Bank transfer,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,120.0,8321.02,Yes
CUST_00053,31,Male,0,Yes,No,21,Month-to-month,No,Bank transfer,Yes,No,Fiber optic,No,No internet service,No,No internet service,No,Yes,110.65,2367.05,Yes
CUST_00054,47,Female,0,No,Yes,3,Month-to-month,Yes,Electronic check,Yes,No phone service,Fiber optic,No,No,No,No,No,No internet service,88.63,179.28,No
CUST_00055,52,Male,0,No,No,48,Month-to-month,Yes,Bank transfer,Yes,Yes,Fiber optic,No internet service,No internet service,No,No internet service,No,No,99.56,4803.97,No
CUST_00056,51,Male,0,No,No,10,Month-to-month,Yes,Electronic check,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,Yes,109.65,1036.9,Yes
CUST_00057,29,Male,1,Yes,No,42,Month-to-month,No,Electronic check,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,95.02,3962.07,Yes
CUST_00058,36,Female,0,No,No,66,Two year,Yes,Mailed check,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,Yes,120.0,7949.22,Yes
CUST_00059,43,Female,0,No,No,46,Month-to-month,No,Electronic check,Yes,No,DSL,Yes,Yes,Yes,No,No internet service,Yes,92.35,4248.31,Yes
CUST_00060,51,Female,0,No,No,9,Month-to-month,Yes,Credit card,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,78.22,733.62,Yes
CUST_00061,34,Male,0,No,No,49,Two year,Yes,Bank transfer,Yes,No,Fiber optic,No internet service,No internet service,No,Yes,No,No,86.82,4242.85,No
CUST_00062,37,Male,0,Yes,No,4,Month-to-month,Yes,Credit card,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,109.45,346.67,Yes
CUST_00063,26,Male,0,No,Yes,60,Month-to-month,Yes,Bank transfer,Yes,No phone service,No,No,No internet service,No internet service,No,No,Yes,56.88,3340.66,Yes
CUST_00064,25,Female,1,Yes,No,29,Month-to-month,No,Electronic check,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,95.13,2753.54,Yes
CUST_00065,49,Male,0,Yes,No,47,Two year,Yes,Mailed check,Yes,Yes,DSL,No,No,No,No internet service,No,No,77.96,3706.49,No
CUST_00066,56,Male,1,No,No,63,Month-to-month,No,Credit card,Yes,No phone service,DSL,Yes,No,No,No internet service,No internet service,Yes,79.44,4947.28,No
CUST_00067,39,Female,0,No,No,31,Two year,Yes,Mailed check,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,No internet service,No internet service,96.21,2965.52,Yes
CUST_00068,52,Female,0,No,No,51,One year,No,Mailed check,Yes,No,DSL,No,No,No internet service,No,No internet service,No,68.52,3506.43,No
CUST_00069,44,Female,0,Yes,Yes,41,One year,No,Mailed check,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,Yes,Yes,104.55,4317.28,Yes
CUST_00070,32,Male,0,Yes,No,36,One year,Yes,Electronic check,Yes,No,DSL,No internet service,No,Yes,No,Yes,Yes,93.48,3377.53,Yes
CUST_00071,44,Male,0,No,No,40,Month-to-month,Yes,Electronic check,Yes,No,No,No,No internet service,No,No,No,Yes,57.4,2300.97,Yes
CUST_00072,58,Male,0,Yes,No,60,Month-to-month,Yes,Electronic check,No,No,No,Yes,No,Yes,Yes,Yes,Yes,67.33,4019.36,Yes
CUST_00073,39,Female,0,No,No,15,Month-to-month,Yes,Mailed check,No,Yes,Fiber optic,No,No,No internet service,Yes,Yes,No,105.52,1509.42,Yes
CUST_00074,58,Female,1,Yes,Yes,30,Month-to-month,Yes,Electronic check,Yes,No,No,No,Yes,No internet service,Yes,No internet service,Yes,48.58,1480.36,No
CUST_00075,18,Female,0,No,No,30,Two year,No,Bank transfer,Yes,No,DSL,No,No,No internet service,Yes,Yes,No,89.44,2691.15,No
CUST_00076,49,Female,0,Yes,No,27,One year,No,Bank transfer,Yes,No phone service,DSL,No internet service,No,Yes,No,No,No,76.56,2101.91,No
CUST_00077,41,Male,1,No,No,40,Month-to-month,Yes,Bank transfer,Yes,No phone service,DSL,No,No,No internet service,No,Yes,No,73.06,3007.94,Yes
CUST_00078,36,Male,0,No,No,45,Two year,No,Electronic check,Yes,Yes,DSL,No,No internet service,No,Yes,Yes,No,89.69,4032.84,Yes
CUST_00079,41,Male,0,Yes,No,47,Two year,Yes,Bank transfer,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No,92.99,4318.99,Yes
CUST_00080,18,Male,0,No,No,56,Two year,Yes,Mailed check,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,105.54,5919.58,Yes
CUST_00081,37,Male,0,No,No,54,Two year,Yes,Credit card,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,76.35,4169.96,No
CUST_00082,44,Male,0,No,No,9,Month-to-month,Yes,Mailed check,Yes,No,No,Yes,Yes,No,No internet service,No,Yes,61.07,534.58,No
CUST_00083,57,Male,0,No,No,65,Month-to-month,Yes,Electronic check,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,No,90.15,5846.99,No
CUST_00084,33,Male,0,Yes,No,70,Month-to-month,Yes,Electronic check,Yes,Yes,DSL,Yes,No,Yes,No,No,No,91.42,6455.21,No
CUST_00085,30,Female,0,Yes,No,1,Month-to-month,No,Bank transfer,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,No,76.16,174.5,Yes
CUST_00086,33,Female,0,Yes,Yes,13,Month-to-month,No,Mailed check,Yes,No,Fiber optic,No internet service,No internet service,No internet service,No,No internet service,No,88.76,1139.54,Yes
CUST_00087,50,Male,0,Yes,No,38,Two year,No,Electronic check,Yes,Yes,DSL,No,No,No,No,No,Yes,88.74,3329.41,Yes
CUST_00088,43,Female,0,Yes,Yes,45,Two year,Yes,Mailed check,Yes,No,DSL,No,No internet service,No,Yes,No,No,72.57,3259.34,No
CUST_00089,33,Male,0,No,Yes,40,One year,Yes,Electronic check,Yes,Yes,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,115.83,4675.6,Yes
CUST_00090,46,Male,0,Yes,No,15,One year,Yes,Mailed check,Yes,Yes,No,No,No,No internet service,No,Yes,No internet service,67.58,1078.59,No
CUST_00091,41,Female,0,Yes,No,50,Month-to-month,No,Electronic check,Yes,Yes,DSL,No,No,No internet service,No internet service,Yes,Yes,94.32,4744.12,No
CUST_00092,51,Male,0,Yes,No,2,Month-to-month,Yes,Credit card,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No internet service,116.38,204.77,Yes
CUST_00093,31,Male,0,No,Yes,53,Two year,Yes,Electronic check,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,87.03,4583.97,No
CUST_00094,36,Male,1,No,No,26,Month-to-month,Yes,Credit card,Yes,No,Fiber optic,No,No,No,No,No internet service,No,89.17,2354.24,No
CUST_00095,35,Male,0,Yes,No,66,One year,No,Mailed check,Yes,No,Fiber optic,No,No,No,No internet service,Yes,Yes,96.03,6321.89,No
CUST_00096,22,Male,0,No,No,33,Month-to-month,Yes,Electronic check,No,Yes,No,No internet service,No,Yes,No,Yes,No internet service,51.89,1693.37,Yes
CUST_00097,43,Male,0,Yes,No,59,Two year,No,Credit card,Yes,No,No,No,No internet service,No internet service,No,Yes,Yes,60.84,3488.77,No
CUST_00098,43,Male,0,No,No,26,One year,Yes,Bank transfer,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,91.57,2377.03,No
CUST_00099,40,Female,0,No,Yes,21,One year,No,Electronic check,Yes,No,No,No,Yes,No,No internet service,Yes,No,57.73,1224.81,Yes
CUST_00100,37,Female,0,Yes,No,49,Month-to-month,Yes,Bank transfer,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No internet service,108.38,5412.41,No
CUST_00101,23,Male,0,No,No,71,Month-to-month,No,Credit card,Yes,Yes,Fiber optic,No,Yes,Yes,No internet service,No internet service,Yes,114.55,8077.59,Yes
CUST_00102,34,Female,1,No,No,71,Month-to-month,Yes,Credit card,Yes,No,Fiber optic,No,No internet service,Yes,No,No,Yes,99.99,7133.29,Yes
CUST_00103,35,Male,0,Yes,Yes,66,Month-to-month,Yes,Bank transfer,Yes,Yes,Fiber optic,No,No internet service,Yes,Yes,Yes,No,119.21,7915.37,Yes
CUST_00104,30,Male,0,No,No,37,Two year,Yes,Bank transfer,Yes,No,DSL,No,Yes,No,No,No,No internet service,75.59,2808.13,No
CUST_00105,38,Male,0,Yes,No,14,Two year,Yes,Electronic check,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,119.68,1761.49,No
CUST_00106,44,Male,0,Yes,Yes,72,Month-to-month,No,Credit card,Yes,Yes,Fiber optic,No,No,No,No,No internet service,Yes,103.42,7484.33,Yes
CUST_00107,62,Female,1,Yes,No,7,Month-to-month,No,Electronic check,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No internet service,91.75,673.94,Yes
CUST_00108,42,Female,1,Yes,No,38,Two year,No,Electronic check,Yes,No,No,No,No internet service,No internet service,No internet service,Yes,Yes,73.06,2748.72,No
CUST_00109,43,Female,0,Yes,No,45,Month-to-month,Yes,Credit card,Yes,No phone service,No,Yes,No,No,No,Yes,No,52.03,2356.68,Yes
CUST_00110,39,Female,1,No,No,22,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No internet service,109.74,2366.93,Yes
CUST_00111,18,Male,0,Yes,Yes,44,Month-to-month,No,Mailed check,Yes,No,DSL,Yes,No,No,No internet service,Yes,Yes,93.31,4058.56,Yes
CUST_00112,39,Female,1,Yes,No,35,Month-to-month,No,Mailed check,Yes,No,Fiber optic,Yes,No,No internet service,No,Yes,No,117.77,4142.35,No
CUST_00113,40,Male,0,No,No,60,Month-to-month,Yes,Credit card,Yes,Yes,DSL,Yes,No internet service,No,No,No,No,84.91,5134.07,No
CUST_00114,69,Male,0,No,No,3,Month-to-month,No,Mailed check,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No,106.2,323.74,No
CUST_00115,37,Female,0,No,No,67,One year,No,Mailed check,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,96.93,6540.14,No
CUST_00116,43,Male,0,No,Yes,72,One year,Yes,Electronic check,Yes,No,Fiber optic,No internet service,No,No internet service,No,Yes,No internet service,92.81,6651.82,No
CUST_00117,39,Female,0,No,No,55,Month-to-month,Yes,Electronic check,Yes,Yes,No,Yes,Yes,No,No,Yes,No internet service,73.57,4115.2,Yes
CUST_00118,25,Female,0,No,No,9,Month-to-month,Yes,Credit card,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,119.23,1129.67,No
CUST_00119,53,Female,0,No,Yes,69,Two year,No,Mailed check,Yes,No phone service,No,No internet service,No,Yes,Yes,No internet service,Yes,59.95,4188.12,No
CUST_00120,49,Female,0,No,No,28,One year,Yes,Electronic check,Yes,Yes,No,No,Yes,No internet service,No,No,Yes,64.16,1756.25,Yes
CUST_00121,49,Female,0,Yes,No,15,Month-to-month,Yes,Mailed check,Yes,Yes,DSL,No,No,No,No internet service,No,No,72.46,1106.55,No
CUST_00122,29,Male,1,Yes,No,31,Month-to-month,No,Electronic check,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,No internet service,Yes,117.85,3764.84,Yes
CUST_00123,56,Female,0,No,No,59,Month-to-month,No,Bank transfer,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,120.0,6982.64,No
CUST_00124,23,Female,1,Yes,No,54,Month-to-month,No,Electronic check,Yes,No,DSL,No,No,No,No,Yes,No,82.9,4471.83,Yes
CUST_00125,47,Male,0,Yes,No,68,Two year,Yes,Electronic check,Yes,No,DSL,No,No,Yes,No,No,Yes,83.23,5691.16,No
CUST_00126,66,Female,0,No,Yes,47,Month-to-month,No,Mailed check,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,117.1,5468.55,Yes
CUST_00127,28,Female,0,No,No,42,One year,Yes,Credit card,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,114.01,4763.9,No
CUST_00128,33,Male,0,Yes,Yes,23,Month-to-month,Yes,Bank transfer,Yes,No,No,Yes,Yes,Yes,No,No internet service,Yes,65.07,1474.46,Yes
CUST_00129,41,Male,0,No,No,65,Two year,Yes,Mailed check,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,105.98,6846.42,Yes
CUST_00130,33,Female,0,No,Yes,54,Month-to-month,No,Electronic check,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,120.0,6508.0,Yes
CUST_00131,21,Male,0,No,Yes,11,Month-to-month,No,Bank transfer,Yes,No,Fiber optic,Yes,Yes,No,No internet service,No,No,102.74,1063.64,Yes
CUST_00132,40,Female,0,No,Yes,63,One year,Yes,Credit card,Yes,Yes,Fiber optic,No,Yes,No,Yes,No internet service,Yes,110.18,6888.48,Yes
CUST_00133,27,Male,0,No,No,22,One year,Yes,Bank transfer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No internet service,77.69,1673.34,No
CUST_00134,45,Female,0,No,No,54,One year,No,Electronic check,No,No,No,No,Yes,No,No internet service,No,No internet service,26.41,1501.91,No
CUST_00135,28,Female,0,Yes,No,36,One year,Yes,Credit card,Yes,No,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,120.0,4396.23,Yes
CUST_00136,58,Female,0,No,Yes,58,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,No,Yes,No,Yes,No internet service,Yes,111.11,6452.26,Yes
CUST_00137,30,Male,0,No,No,20,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,No,No,No internet service,No,Yes,108.9,2267.14,Yes
CUST_00138,36,Female,0,No,No,16,One year,Yes,Mailed check,No,No,Fiber optic,No,No,No internet service,No internet service,No,No internet service,76.53,1221.82,No
CUST_00139,49,Male,0,No,No,56,One year,Yes,Electronic check,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,104.98,5964.66,Yes
CUST_00140,25,Female,0,Yes,No,50,Month-to-month,No,Electronic check,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No,87.51,4402.36,Yes
CUST_00141,42,Female,0,No,No,66,One year,Yes,Credit card,Yes,Yes,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,113.68,7514.57,Yes
CUST_00142,55,Female,0,Yes,No,13,Two year,No,Mailed check,Yes,No phone service,DSL,No,No internet service,No internet service,No,No internet service,Yes,80.79,1014.79,Yes
CUST_00143,20,Female,0,Yes,Yes,15,One year,Yes,Credit card,Yes,Yes,No,No,No,No internet service,No,No,No,56.81,852.93,Yes
CUST_00144,42,Female,0,Yes,Yes,27,Month-to-month,Yes,Credit card,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,101.97,2731.59,Yes
CUST_00145,43,Male,0,Yes,No,8,Month-to-month,No,Bank transfer,Yes,No phone service,No,Yes,No internet service,No,Yes,No internet service,Yes,58.98,423.42,No
CUST_00146,49,Male,0,No,No,70,Month-to-month,Yes,Bank transfer,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,99.6,6931.69,No
CUST_00147,25,Male,0,Yes,Yes,50,Month-to-month,No,Credit card,No,No,DSL,Yes,No,No internet service,No,No internet service,Yes,75.03,3763.1,Yes
CUST_00148,24,Female,0,Yes,No,67,Month-to-month,No,Mailed check,Yes,No,DSL,No internet service,No internet service,Yes,No internet service,No,Yes,82.68,5486.36,Yes
CUST_00149,46,Female,0,No,No,26,Month-to-month,No,Electronic check,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,82.11,2170.93,Yes
CUST_00150,43,Male,0,Yes,No,36,Month-to-month,No,Credit card,Yes,Yes,DSL,Yes,No,Yes,No internet service,No internet service,Yes,98.31,3518.42,Yes
CUST_00151,43,Female,0,Yes,No,21,Month-to-month,Yes,Electronic check,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No internet service,112.78,2362.6,No
CUST_00152,44,Female,1,Yes,Yes,52,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,115.85,6058.37,Yes
CUST_00153,31,Female,0,Yes,No,11,Month-to-month,Yes,Mailed check,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,109.09,1124.26,Yes
CUST_00154,42,Male,0,Yes,Yes,8,Month-to-month,No,Credit card,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,98.16,646.4,No
CUST_00155,43,Male,0,Yes,No,57,Month-to-month,Yes,Credit card,Yes,No,Fiber optic,No,No internet service,No,No,Yes,Yes,111.29,6297.62,Yes
CUST_00156,31,Male,0,No,Yes,46,Month-to-month,No,Mailed check,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,107.76,5001.29,No
CUST_00157,62,Male,0,Yes,No,2,Two year,Yes,Electronic check,Yes,No,DSL,No,No internet service,No,No internet service,No,No,73.49,179.91,Yes
CUST_00158,45,Male,0,Yes,No,64,Two year,Yes,Mailed check,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No,102.09,6467.75,Yes
CUST_00159,25,Female,0,No,No,52,Month-to-month,Yes,Bank transfer,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,102.11,5272.07,Yes
CUST_00160,47,Female,0,Yes,Yes,65,Two year,Yes,Electronic check,Yes,Yes,Fiber optic,No,No,No internet service,No,No internet service,No,102.38,6659.76,Yes
CUST_00161,28,Female,0,No,Yes,11,Month-to-month,Yes,Bank transfer,Yes,No phone service,Fiber optic,No internet service,No,No,No,No,No,83.98,909.4,Yes
CUST_00162,49,Female,1,Yes,Yes,6,One year,Yes,Bank transfer,Yes,Yes,No,No,Yes,No,Yes,Yes,No internet service,80.17,508.68,No
CUST_00163,53,Male,0,Yes,No,64,Month-to-month,Yes,Bank transfer,Yes,Yes,DSL,No internet service,No,Yes,No,No internet service,No,88.93,5715.43,Yes
CUST_00164,30,Male,1,No,No,55,Two year,Yes,Bank transfer,Yes,Yes,Fiber optic,No internet service,No,No,No,No,Yes,105.06,5854.82,No
CUST_00165,51,Female,1,Yes,No,44,Month-to-month,Yes,Electronic check,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No,102.89,4581.93,Yes
CUST_00166,44,Male,0,Yes,Yes,14,Month-to-month,Yes,Bank transfer,Yes,No,No,Yes,No internet service,No,No,No,Yes,57.92,821.91,No
CUST_00167,49,Female,0,No,Yes,5,Month-to-month,No,Electronic check,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,111.0,562.98,No
CUST_00168,62,Female,0,Yes,Yes,25,Two year,No,Mailed check,Yes,No phone service,Fiber optic,No,Yes,No internet service,Yes,Yes,No,99.46,2536.95,No
CUST_00169,37,Female,0,No,No,50,Month-to-month,Yes,Mailed check,Yes,Yes,No,No,Yes,No internet service,No internet service,No,No,56.88,2940.97,No
CUST_00170,30,Female,0,No,No,71,Month-to-month,Yes,Electronic check,No,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No internet service,98.5,6935.69,Yes
